,id,title,author,genre,tag,platform,age,rate,complete,free,website
98,98,탄생소녀,"애플링, 뿔사슴",로맨스,#연애#우정#고등학교#남녀바뀜#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/girl_birth
99,99,5등분의 신부,하루바 네기,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/five_equal_parts
100,100,비밀스러운 짝사랑,정,로맨스,#썸#달달물#짝사랑#고등학교#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/secretmylove
101,101,마녀도시 리린이야기,레드렌,백합,#귀여움#마녀#잔혹#백합,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/lilinstory
102,102,회장님! 이번 한 번만이에요. [연재],만다오,로맨스,#로맨스#연애,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/just_once
103,103,파멸 예정 연하 남주가 내게 빠졌다 [연재],"DIAN, 하링, 윤달",로맨스,#로판#로맨스#소설원작#연하남#이세계물,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/to_be_ruined
104,104,굿바이 악마,"백화(百花), 자목",로맨스,#로맨스#애증#계약관계,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/goodbye_devil
105,105,스바루 군의 절대명령!,"우루 아쿠아, 우로코",로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/s_prince
106,106,스미카 스미레,다카나시 미츠바,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/smika_smire
107,107,잃어버린 기억의 비밀 [연재],"TRANSN, MiFenPink",로맨스,#로맨스#현대물#재벌#복수,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/lost_memory
108,108,인스턴트 글라스,가재,백합,#친구#죽음#고어#호러#미스터리,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/instant_glass
109,109,도라의 저택,녹음,로맨스,#로맨스#연애#애증#짝사랑#삼각관계,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/doras_mansion
110,110,잡아먹지 마세요 도깨비님! [연재],"Bochuanjiujiuzi, Kuaikan Comics",로맨스,#판타지#로맨스#이종족#비밀#달달물,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/dont_eat_me_doggaebi
111,111,환생하여 의녀가 되다 [연재],"JIANGWUWU, HUQI",로맨스,#로맨스#동양풍#복수#시대극,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/rebirth_doctor
112,112,벌건 대낮,최용성,로맨스,#썸#연애#드라마#캠퍼스#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/day
113,113,마음의 목소리 [연재],"ETE, 볼드",로맨스,#로맨스#현대물#비서#오피스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/inner_voice
114,114,온 더 힐,장어진,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/on_the_heel
115,115,"17세, 오늘부터 동거 시작합니다!","모모타 아코, 우로코",로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/17_livetogether
116,116,신데렐라 리미트,깨알,로맨스,#소꿉친구#고등학교#짝사랑#판타지#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/limit
117,117,생존결혼 [연재],지완,로맨스,#로맨스#일편단심#꿈#이세계물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/survival_marriage
118,118,모래와 바다의 노래,MISHA,로맨스,#로맨스#이세계물#시대극,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/pharaohs_concubine
119,119,TV를 꺼드립니다,"Lunar Phase, sage",로맨스,#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/turnoff_tv
120,120,나의 행복한 결혼,"코우사카 리토, 아기토기 아쿠미",로맨스,#판타지#로맨스#결혼#동양풍,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/my_happy_marriege
121,121,용의주도 대표님의 연애 게임 [연재],"Xiangwang, Ailu Cat, Yunqimoli",로맨스,#로맨스#결혼#재벌#달달물#동거,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/ceos_love_game
122,122,평범한 코이코 짱,나나지 나가무,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/koiko
123,123,"18세 새댁, 불륜합니다",와타나베 시호,로맨스,#로맨스#귀여움#결혼#성장물#달달물,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/liaison_marriage
124,124,너의 돈이 보여,"S리아, 민국23",로맨스,#연애#드라마#재벌#초능력#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/moneylover
125,125,뮤지션,단추,로맨스,#애증#연애#연예인#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/musician
126,126,애제자,김영조,로맨스,#사제지간#짝사랑#만화가#학원#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/mad_teacher
127,127,선배가 짜증나는 후배이야기 [웹툰],시로만타,로맨스,#로맨스#선후배#귀여움#달달물#오피스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/senpai_ga_uzai
128,128,설령 닿지 않을 실이라 해도,tMnR,백합,#백합#치정#드라마,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/secret_crush_on_sister
129,129,압구정 몬스터,"한지혜, 루창",로맨스,#요괴#판타지#로맨스#현대물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/apgujeong_monster
130,130,브로큰 릴리,sage,백합,#의사#귀족#츤데레#백합,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/broken_lily
131,131,뜨거운 웬수,"여우, 김수진",로맨스,#로맨스#부부#결혼,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/lover_enemy
132,132,달래야,춘애,백합,#수인물#친구>연인#캠퍼스#재회물#수상작,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/dallae
133,133,나는 악녀가 아니다,밀크캔디,로맨스,#로맨스#현대물#썸,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/bad_girl_x
134,134,딜리셔스 블러드 [연재],"연두, ZQ, 띄띄, 라륀느",로맨스,#로맨스#현대물#뱀파이어#연애#달달물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/delicious_blood
135,135,10년째 차이는 소꿉친구,님니,로맨스,#고등학교#귀여움#코믹#소꿉친구#학원,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/friend
136,136,기절소녀 하나미!,호이,로맨스,#짝사랑#코믹#삼각관계#선후배#트라우마,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/haami
137,137,새장의 소녀,koer,백합,#백합#성장물#고등학교#재회물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/cage
138,138,누나 팬 닷컴,"전혜진, 김진희",로맨스,#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/nunafan_dotcom
139,139,메이드 인 헤븐,세오네,백합,#백합#환생#시대극#스릴러#판타지,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/made_in_heaven
140,140,치정 [개정판],"수락, 손개피, 현은미",백합,#궁정물#소설원작#시대극#백합,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/love_affair_rd
141,141,연목구애,"기량, 허사린",로맨스,#로맨스#소설원작#치정#궁정물#동양풍,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/young_love_story
142,142,추락 여고생과 폐인 교사,소라,로맨스,#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/crash_highschool_girl
